[SLM] resuming from existing checkpoint: /Users/ravindrasingh/Documents/AI-Agents/PikuAI/pikuai-gaurdrails/models/piku-slm-guardrail-smollm2-135m/pytorch_model.bin
[SLM] training start: device=mps train_rows=79520 dev_rows=9933 batch_size=2 max_length=128 freeze_backbone=True resume_if_available=True
[SLM] epoch 1/1 start
[SLM] epoch 1 batch 5575/39760 loss=3.2414
[SLM] epoch 1 batch 5600/39760 loss=4.1762
[SLM] epoch 1 batch 5625/39760 loss=4.2533
[SLM] epoch 1 batch 5650/39760 loss=2.5380
[SLM] epoch 1 batch 5675/39760 loss=25.9470
[SLM] epoch 1 batch 5700/39760 loss=4.0484
[SLM] epoch 1 batch 5725/39760 loss=3.4989
[SLM] epoch 1 batch 5750/39760 loss=2.5932
[SLM] epoch 1 batch 5775/39760 loss=4.2709
[SLM] epoch 1 batch 5800/39760 loss=3.1813
[SLM] epoch 1 batch 5825/39760 loss=2.4048
[SLM] epoch 1 batch 5850/39760 loss=3.7115
[SLM] epoch 1 batch 5875/39760 loss=2.6328
[SLM] epoch 1 batch 5900/39760 loss=3.0268
[SLM] epoch 1 batch 5925/39760 loss=15.7898
[SLM] epoch 1 batch 5950/39760 loss=3.5426
[SLM] epoch 1 batch 5975/39760 loss=3.0067
[SLM] epoch 1 batch 6000/39760 loss=3.2646
[SLM] epoch 1 batch 6025/39760 loss=2.8511
[SLM] epoch 1 batch 6050/39760 loss=4.7522
[SLM] epoch 1 batch 6075/39760 loss=5.9036
[SLM] epoch 1 batch 6100/39760 loss=5.7776
[SLM] epoch 1 batch 6125/39760 loss=9.1643
[SLM] epoch 1 batch 6150/39760 loss=4.9543
[SLM] epoch 1 batch 6175/39760 loss=3.5486
[SLM] epoch 1 batch 6200/39760 loss=2.9982
[SLM] epoch 1 batch 6225/39760 loss=3.8223
[SLM] epoch 1 batch 6250/39760 loss=3.0396
[SLM] epoch 1 batch 6275/39760 loss=3.2394
[SLM] epoch 1 batch 6300/39760 loss=2.9124
[SLM] epoch 1 batch 6325/39760 loss=2.9424
[SLM] epoch 1 batch 6350/39760 loss=3.8827
[SLM] epoch 1 batch 6375/39760 loss=24.8386
[SLM] epoch 1 batch 6400/39760 loss=2.9806
[SLM] epoch 1 batch 6425/39760 loss=6.0425
[SLM] epoch 1 batch 6450/39760 loss=3.0089
[SLM] epoch 1 batch 6475/39760 loss=3.6467
[SLM] epoch 1 batch 6500/39760 loss=2.4134
[SLM] epoch 1 batch 6525/39760 loss=4.1005
[SLM] epoch 1 batch 6550/39760 loss=2.7542
[SLM] epoch 1 batch 6575/39760 loss=3.3900
[SLM] epoch 1 batch 6600/39760 loss=10.4485
[SLM] epoch 1 batch 6625/39760 loss=5.2478
[SLM] epoch 1 batch 6650/39760 loss=2.3431
[SLM] epoch 1 batch 6675/39760 loss=17.1560
[SLM] epoch 1 batch 6700/39760 loss=3.3729
[SLM] epoch 1 batch 6725/39760 loss=2.6429
[SLM] epoch 1 batch 6750/39760 loss=3.1746
[SLM] epoch 1 batch 6775/39760 loss=7.3087
[SLM] epoch 1 batch 6800/39760 loss=3.5252
[SLM] epoch 1 batch 6825/39760 loss=4.4939
[SLM] epoch 1 batch 6850/39760 loss=2.9526
[SLM] epoch 1 batch 6875/39760 loss=7.8882
[SLM] epoch 1 batch 6900/39760 loss=3.3015
[SLM] epoch 1 batch 6925/39760 loss=3.3606
[SLM] epoch 1 batch 6950/39760 loss=4.1180
[SLM] epoch 1 batch 6975/39760 loss=2.4704
[SLM] epoch 1 batch 7000/39760 loss=4.1044
[SLM] epoch 1 batch 7025/39760 loss=3.0963
[SLM] epoch 1 batch 7050/39760 loss=5.8205
[SLM] epoch 1 batch 7075/39760 loss=5.8095
[SLM] epoch 1 batch 7100/39760 loss=16.9730
[SLM] epoch 1 batch 7125/39760 loss=2.2078
[SLM] epoch 1 batch 7150/39760 loss=5.1059
[SLM] epoch 1 batch 7175/39760 loss=12.8914
[SLM] epoch 1 batch 7200/39760 loss=3.5222
[SLM] epoch 1 batch 7225/39760 loss=2.7108
[SLM] epoch 1 batch 7250/39760 loss=2.5059
[SLM] epoch 1 batch 7275/39760 loss=3.4200
[SLM] epoch 1 batch 7300/39760 loss=2.1680
[SLM] epoch 1 batch 7325/39760 loss=3.4364
[SLM] epoch 1 batch 7350/39760 loss=12.3220
[SLM] epoch 1 batch 7375/39760 loss=3.3861
[SLM] epoch 1 batch 7400/39760 loss=2.6957
[SLM] epoch 1 batch 7425/39760 loss=3.1619
[SLM] epoch 1 batch 7450/39760 loss=3.6897
[SLM] epoch 1 batch 7475/39760 loss=2.3578
[SLM] epoch 1 batch 7500/39760 loss=6.0260
[SLM] epoch 1 batch 7525/39760 loss=4.3901
[SLM] epoch 1 batch 7550/39760 loss=5.0156
[SLM] epoch 1 batch 7575/39760 loss=3.1219
[SLM] epoch 1 batch 7600/39760 loss=6.2269
[SLM] epoch 1 batch 7625/39760 loss=2.7132
[SLM] epoch 1 batch 7650/39760 loss=6.4621
[SLM] epoch 1 batch 7675/39760 loss=3.3134
[SLM] epoch 1 batch 7700/39760 loss=4.5030
[SLM] epoch 1 batch 7725/39760 loss=4.8716
[SLM] epoch 1 batch 7750/39760 loss=2.5452
[SLM] epoch 1 batch 7775/39760 loss=3.4765
[SLM] epoch 1 batch 7800/39760 loss=1.9984
[SLM] epoch 1 batch 7825/39760 loss=2.6020
[SLM] epoch 1 batch 7850/39760 loss=2.8282
[SLM] epoch 1 batch 7875/39760 loss=6.1775
[SLM] epoch 1 batch 7900/39760 loss=2.5228
[SLM] epoch 1 batch 7925/39760 loss=2.6884
[SLM] epoch 1 batch 7950/39760 loss=2.0711
[SLM] epoch 1 batch 7975/39760 loss=5.3807
[SLM] epoch 1 batch 8000/39760 loss=17.1439
[SLM] epoch 1 batch 8025/39760 loss=10.8054
[SLM] epoch 1 batch 8050/39760 loss=4.5337
[SLM] epoch 1 batch 8075/39760 loss=4.0185
[SLM] epoch 1 batch 8100/39760 loss=4.0924
[SLM] epoch 1 batch 8125/39760 loss=5.1370
[SLM] epoch 1 batch 8150/39760 loss=2.0072
